"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
5132,"OIAG","medium_airport","Aghajari Airport",30.7444,49.6772,88,"AS","IR","IR-10","Aghajari","no","OIAG","AKW","","","http://en.wikipedia.org/wiki/Aghajari_Airport",""
5133,"OIAH","medium_airport","Gachsaran Airport",30.337600708,50.827999115,2414,"AS","IR","IR-18","Gachsaran","no","OIAH","GCH","","","",""
5136,"OIAM","medium_airport","Mahshahr Airport",30.5562000274658,49.1519012451172,8,"AS","IR","IR-10","","yes","OIAM","MRX","","","http://en.wikipedia.org/wiki/Mahshahr_Airport",""
5137,"OIAW","medium_airport","Ahwaz Airport",31.3374004364,48.7620010376,66,"AS","IR","IR-10","Ahwaz","yes","OIAW","AWZ","","","http://en.wikipedia.org/wiki/Ahvaz_Airport",""
5138,"OIBA","medium_airport","Abu Musa Island Airport",25.8757,55.033001,23,"AS","IR","IR-23","Abu Musa","yes","OIBA","AEU","","","https://en.wikipedia.org/wiki/Abu_Musa_Airport",""
5139,"OIBB","medium_airport","Bushehr Airport",28.9447994232,50.8345985413,68,"AS","IR","IR-06","Bushehr","yes","OIBB","BUZ","","","http://en.wikipedia.org/wiki/Bushehr_Airport",""
5142,"OIBJ","medium_airport","Jam Airport",27.820499420166,52.3521995544434,2173,"AS","IR","IR-06","Kangan","no","OIBJ","KNR","","","","Tohid, OIBM"
5143,"OIBK","medium_airport","Kish International Airport",26.5261993408,53.9802017212,101,"AS","IR","IR-23","Kish Island","yes","OIBK","KIH","","","http://en.wikipedia.org/wiki/Kish_Airport",""
5144,"OIBL","medium_airport","Bandar Lengeh Airport",26.531999588,54.824798584,67,"AS","IR","IR-23","Bandar Lengeh","yes","OIBL","BDH","","","http://en.wikipedia.org/wiki/Bandar_Lengeh_Airport",""
5145,"OIBP","medium_airport","Persian Gulf International Airport",27.379601,52.737701,27,"AS","IR","IR-06","Asalouyeh","yes","OIBP","PGU","","","https://en.wikipedia.org/wiki/Persian_Gulf_Airport","Khalije Fars, PSEEZ, Bandar Asalouyeh, Pars-Special-Zone,  عسلویه"
5146,"OIBQ","medium_airport","Khark Island Airport",29.2602996826172,50.3238983154297,17,"AS","IR","IR-06","","no","OIBQ","KHK","","","",""
5147,"OIBS","medium_airport","Sirri Island Airport",25.908899307251,54.5393981933594,43,"AS","IR","IR-23","","no","OIBS","SXI","","","",""
5148,"OIBV","medium_airport","Lavan Island Airport",26.8103008270264,53.3563003540039,76,"AS","IR","IR-23","","no","OIBV","LVP","","","",""
5149,"OICC","medium_airport","Shahid Ashrafi Esfahani Airport",34.3459014893,47.1581001282,4307,"AS","IR","IR-17","Kermanshah","yes","OICC","KSH","","","http://en.wikipedia.org/wiki/Shahid_Ashrafi_Esfahani_Airport",""
5150,"OICI","medium_airport","Ilam Airport",33.5866012573242,46.4048004150391,4404,"AS","IR","IR-05","Ilam","no","OICI","IIL","","","http://en.wikipedia.org/wiki/Ilam_Airport",""
5151,"OICK","medium_airport","Khoram Abad Airport",33.4353981018066,48.282901763916,3782,"AS","IR","IR-20","","yes","OICK","KHD","","","http://en.wikipedia.org/wiki/Khorramabad_Airport",""
5152,"OICS","medium_airport","Sanandaj Airport",35.2458992004395,47.0092010498047,4522,"AS","IR","IR-16","","yes","OICS","SDG","","","http://en.wikipedia.org/wiki/Sanandaj_Airport",""
5155,"OIFK","medium_airport","Kashan Airport",33.895302,51.577,3465,"AS","IR","IR-04","Kashan","yes","OIFK","KKS","","","https://en.wikipedia.org/wiki/Kashan_Airport",""
5156,"OIFM","medium_airport","Esfahan Shahid Beheshti International Airport",32.7508010864258,51.8613014221191,5059,"AS","IR","IR-04","Isfahan","yes","OIFM","IFN","","","http://en.wikipedia.org/wiki/Isfahan_International_Airport","Isfahan Shahid Beheshti"
5158,"OIFS","medium_airport","Shahrekord Airport",32.2971992493,50.8422012329,6723,"AS","IR","IR-08","Shahrekord","no","OIFS","CQD","","","http://en.wikipedia.org/wiki/Shahrekord_Airport",""
5159,"OIGG","medium_airport","Sardar-e-Jangal Airport",37.323333,49.617778,-40,"AS","IR","IR-19","Rasht","yes","OIGG","RAS","","http://rasht.airport.ir/HomePage.aspx?site=rasht.airport&lang=fa-IR&tabid=0","http://en.wikipedia.org/wiki/Rasht_Airport",""
5160,"OIHH","medium_airport","Hamadan Airport",34.8692016601562,48.5525016784668,5755,"AS","IR","IR-24","Hamadan","no","OIHH","HDM","","","",""
5166,"OIIE","large_airport","Imam Khomeini International Airport",35.4160995483398,51.1521987915039,3305,"AS","IR","IR-07","Tehran","yes","OIIE","IKA","","http://www.ikia.ir/","http://en.wikipedia.org/wiki/Imam_Khomeini_International_Airport","Ahmadabad"
5168,"OIII","large_airport","Mehrabad International Airport",35.6892013549805,51.3134002685547,3962,"AS","IR","IR-07","Tehran","yes","OIII","THR","","","http://en.wikipedia.org/wiki/Mehrabad_International_Airport",""
5169,"OIIK","medium_airport","Qazvin Airport",36.240101,50.0471,4184,"AS","IR","IR-28","Qazvin","no","OIIK","GZW","","","https://en.wikipedia.org/wiki/Qazvin_Airport","Ghazvin"
5171,"OIIP","medium_airport","Payam International Airport",35.776100158691,50.826698303223,4170,"AS","IR","IR-U-A","Karaj","yes","OIIP","PYK","","","https://en.wikipedia.org/wiki/Payam_International_Airport",""
